Country_code,Country_name,GOR_code,GOR_name,Old_LA_Code,New_LA_Code,LA_Name,ELG_1_Emerge,ELG_1_Expect,ELG_1_Exceed,ELG_1_ At least,ELG_2_Emerge,ELG_2_Expect,ELG_2_Exceed,ELG_2_ At least,ELG_3_Emerge,ELG_3_Expect,ELG_3_Exceed,ELG_3_ At least,ELG_4_Emerge,ELG_4_Expect,ELG_4_Exceed,ELG_4_ At least,ELG_5_Emerge,ELG_5_Expect,ELG_5_Exceed,ELG_5_ At least,ELG_6_Emerge,ELG_6_Expect,ELG_6_Exceed,ELG_6_ At least,ELG_7_Emerge,ELG_7_Expect,ELG_7_Exceed,ELG_7_ At least,ELG_8_Emerge,ELG_8_Expect,ELG_8_Exceed,ELG_8_ At least,ELG_9_Emerge,ELG_9_Expect,ELG_9_Exceed,ELG_9_ At least,ELG_10_Emerge,ELG_10_Expect,ELG_10_Exceed,ELG_10_ At least,ELG_11_Emerge,ELG_11_Expect,ELG_11_Exceed,ELG_11_ At least,ELG_12_Emerge,ELG_12_Expect,ELG_12_Exceed,ELG_12_ At least,ELG_13_Emerge,ELG_13_Expect,ELG_13_Exceed,ELG_13_ At least,ELG_14_Emerge,ELG_14_Expect,ELG_14_Exceed,ELG_14_ At least,ELG_15_Emerge,ELG_15_Expect,ELG_15_Exceed,ELG_15_ At least,ELG_16_Emerge,ELG_16_Expect,ELG_16_Exceed,ELG_16_ At least,ELG_17_Emerge,ELG_17_Expect,ELG_17_Exceed,ELG_17_ At least
E92000001,England,E12000006,East of England,883,E06000034,Thurrock,292,1716,504,2220,314,1706,492,2198,305,1807,400,2207,200,1961,351,2312,174,2037,301,2338,209,1954,349,2303,244,1942,326,2268,195,2019,298,2317,483,1647,382,2029,532,1747,233,1980,426,1762,324,2086,391,1844,277,2121,291,2001,220,2221,294,2002,216,2218,113,2121,278,2399,216,1976,320,2296,213,2005,294,2299
E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,1940,8826,4133,12959,1952,8675,4272,12947,1980,9161,3758,12919,1590,9652,3657,13309,1315,9591,3993,13584,1671,9786,3442,13228,1865,9922,3112,13034,1617,10239,3043,13282,3175,8210,3514,11724,3735,8826,2338,11164,2849,8959,3091,12050,2620,9340,2939,12279,2159,10043,2697,12740,2181,9809,2909,12718,1406,11147,2346,13493,1783,10149,2967,13116,1824,10353,2722,13075
E92000001,England,E12000006,East of England,926,E10000020,Norfolk,1198,7324,1194,8518,1239,7336,1141,8477,1312,7441,963,8404,859,8083,774,8857,712,8424,580,9004,920,7950,846,8796,1091,7951,674,8625,927,8181,608,8789,2146,6443,1127,7570,2613,6666,437,7103,1915,7030,771,7801,1600,7562,554,8116,1220,7991,505,8496,1209,7828,679,8507,573,8739,404,9143,963,8071,682,8753,991,8090,635,8725
E92000001,England,E12000006,East of England,935,E10000029,Suffolk,1076,5410,1816,7226,1114,5402,1786,7188,1168,5658,1476,7134,792,6120,1390,7510,616,6295,1391,7686,824,6097,1381,7478,926,6166,1210,7376,831,6294,1177,7471,1794,4980,1528,6508,2176,5138,988,6126,1614,5393,1295,6688,1345,5844,1113,6957,1013,6368,921,7289,1027,6081,1194,7275,579,6744,979,7723,823,6264,1215,7479,829,6392,1081,7473
E92000001,England,E13000001,Inner London,201,E09000001,City of London,8,53,20,73,9,51,21,72,9,53,19,72,6,52,23,75,2,54,25,79,8,55,18,73,11,51,19,70,9,51,21,72,8,52,21,73,10,54,17,71,8,56,17,73,5,57,19,76,16,49,16,65,13,52,16,68,0,72,9,81,11,57,13,70,16,55,10,65
E92000001,England,E13000001,Inner London,202,E09000007,Camden,293,1029,425,1454,292,1013,442,1455,303,1094,350,1444,198,1172,377,1549,173,1162,412,1574,247,1177,323,1500,271,1198,278,1476,228,1223,296,1519,451,968,328,1296,521,1088,138,1226,378,1113,256,1369,352,1169,226,1395,279,1179,289,1468,260,1172,315,1487,156,1306,285,1591,208,1200,339,1539,209,1229,309,1538
E92000001,England,E13000001,Inner London,204,E09000012,Hackney,447,1949,667,2616,460,1877,726,2603,482,1983,598,2581,296,2225,542,2767,289,2198,576,2774,341,2143,579,2722,352,2215,496,2711,334,2212,517,2729,699,1761,603,2364,733,1854,476,2330,559,1916,588,2504,548,1983,532,2515,437,2098,528,2626,438,2070,555,2625,331,2279,453,2732,295,2218,550,2768,318,2213,532,2745
E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,190,1076,376,1452,195,1060,387,1447,230,1068,344,1412,123,1191,328,1519,102,1157,383,1540,145,1154,343,1497,157,1211,274,1485,136,1231,275,1506,292,1011,339,1350,362,1043,237,1280,266,1082,294,1376,234,1149,259,1408,207,1187,248,1435,200,1170,272,1442,101,1242,299,1541,136,1222,284,1506,137,1243,262,1505
E92000001,England,E13000001,Inner London,206,E09000019,Islington,303,1222,529,1751,326,1247,481,1728,361,1311,382,1693,268,1462,324,1786,251,1478,325,1803,279,1445,330,1775,308,1458,288,1746,253,1493,308,1801,497,1178,379,1557,571,1296,187,1483,443,1296,315,1611,444,1376,234,1610,358,1466,230,1696,372,1439,243,1682,166,1619,269,1888,282,1494,278,1772,285,1525,244,1769
E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,157,653,228,881,160,651,227,878,164,667,207,874,118,722,198,920,121,733,184,917,137,709,192,901,164,718,156,874,134,742,162,904,216,619,203,822,247,655,136,791,194,683,161,844,183,704,151,855,162,694,182,876,169,697,172,869,81,821,136,957,125,752,161,913,139,749,150,899
E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,486,2171,616,2787,506,2134,633,2767,515,2219,539,2758,346,2467,460,2927,312,2489,472,2961,389,2400,484,2884,416,2465,392,2857,330,2534,409,2943,768,2025,480,2505,879,2090,304,2394,669,2196,408,2604,647,2288,338,2626,510,2433,330,2763,507,2425,341,2766,270,2645,358,3003,366,2485,422,2907,371,2550,352,2902
E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,370,3012,376,3388,412,2967,379,3346,421,3027,310,3337,245,3379,134,3513,202,3430,126,3556,262,3279,217,3496,282,3322,154,3476,248,3346,164,3510,633,2750,375,3125,718,2878,162,3040,537,2992,229,3221,471,3138,149,3287,339,3297,122,3419,343,3244,171,3415,175,3494,89,3583,226,3372,160,3532,231,3369,158,3527
E92000001,England,E13000001,Inner London,210,E09000028,Southwark,555,2231,808,3039,579,2183,832,3015,584,2278,732,3010,380,2536,678,3214,325,2592,677,3269,419,2469,706,3175,450,2510,634,3144,406,2567,621,3188,792,2158,644,2802,879,2265,450,2715,704,2287,603,2890,682,2399,513,2912,559,2452,583,3035,566,2414,614,3028,257,2718,619,3337,400,2533,661,3194,428,2537,629,3166
E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,619,2206,788,2994,652,2132,829,2961,672,2217,724,2941,481,2373,759,3132,423,2440,750,3190,508,2373,732,3105,534,2422,657,3079,488,2432,693,3125,989,1886,738,2624,1040,2034,539,2573,820,2163,630,2793,802,2226,585,2811,665,2420,528,2948,665,2391,557,2948,367,2685,561,3246,563,2432,618,3050,563,2438,612,3050
E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,410,2043,817,2860,397,1996,877,2873,420,2071,779,2850,267,2284,719,3003,226,2270,774,3044,314,2252,704,2956,342,2243,685,2928,303,2285,682,2967,552,1900,818,2718,694,2025,551,2576,518,2022,730,2752,498,2079,693,2772,398,2215,657,2872,389,2153,728,2881,205,2407,658,3065,253,2266,751,3017,270,2272,728,3000
E92000001,England,E13000001,Inner London,213,E09000033,Westminster,225,950,314,1264,225,929,335,1264,246,952,291,1243,158,1043,288,1331,144,1055,290,1345,160,1062,267,1329,203,1048,238,1286,173,1089,227,1316,363,841,285,1126,395,892,202,1094,317,938,234,1172,292,990,207,1197,233,1009,247,1256,236,1024,229,1253,104,1151,234,1385,171,1075,243,1318,187,1061,241,1302
E92000001,England,E13000001,Inner London,309,E09000014,Haringey,382,1997,701,2698,416,1925,739,2664,458,1964,658,2622,254,2211,615,2826,214,2262,604,2866,296,2210,574,2784,304,2254,522,2776,267,2290,523,2813,640,1830,610,2440,722,1960,398,2358,556,1984,540,2524,516,2057,507,2564,380,2136,564,2700,392,2097,591,2688,171,2210,699,2909,244,2235,601,2836,259,2218,603,2821
E92000001,England,E13000001,Inner London,316,E09000025,Newham,699,3032,1278,4310,724,2999,1286,4285,787,3062,1160,4222,480,3271,1258,4529,447,3308,1254,4562,550,3308,1151,4459,577,3361,1071,4432,525,3397,1087,4484,1024,2912,1073,3985,1116,3001,892,3893,887,3108,1014,4122,855,3157,997,4154,766,3303,940,4243,780,3275,954,4229,440,3577,992,4569,558,3450,1001,4451,607,3402,1000,4402
E92000001,England,E12000001,North East,390,E08000037,Gateshead,209,1215,803,2018,224,1200,803,2003,214,1274,739,2013,139,1429,659,2088,128,1382,717,2099,187,1352,688,2040,209,1421,597,2018,166,1470,591,2061,517,1256,454,1710,626,1260,341,1601,482,1280,465,1745,365,1376,486,1862,238,1494,495,1989,240,1460,527,1987,65,1478,684,2162,200,1470,557,2027,205,1545,477,2022
E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,352,2144,779,2923,380,2103,792,2895,396,2212,667,2879,246,2360,669,3029,223,2394,658,3052,279,2411,585,2996,312,2381,582,2963,256,2442,577,3019,812,1835,628,2463,899,1950,426,2376,678,2027,570,2597,591,2155,529,2684,389,2424,462,2886,394,2404,477,2881,200,2641,434,3075,279,2452,544,2996,296,2508,471,2979
E92000001,England,E12000001,North East,392,E08000022,North Tyneside,314,1398,605,2003,309,1400,608,2008,277,1491,549,2040,251,1522,544,2066,179,1567,571,2138,240,1579,498,2077,280,1562,475,2037,230,1588,499,2087,492,1392,433,1825,622,1395,300,1695,491,1414,412,1826,391,1543,383,1926,325,1578,414,1992,314,1565,438,2003,149,1782,386,2168,279,1557,481,2038,255,1606,456,2062
E92000001,England,E12000001,North East,393,E08000023,South Tyneside,288,1093,343,1436,298,1073,353,1426,295,1139,290,1429,193,1251,280,1531,186,1272,266,1538,230,1243,251,1494,226,1284,214,1498,199,1316,209,1525,402,1013,309,1322,445,1048,231,1279,361,1114,249,1363,337,1193,194,1387,266,1274,184,1458,280,1222,222,1444,185,1322,217,1539,221,1305,198,1503,230,1314,180,1494
E92000001,England,E12000001,North East,394,E08000024,Sunderland,442,2084,745,2829,428,2073,770,2843,438,2152,681,2833,324,2344,603,2947,257,2356,658,3014,381,2245,645,2890,407,2311,553,2864,341,2348,582,2930,826,1933,512,2445,910,2020,341,2361,711,2080,480,2560,628,2168,475,2643,476,2237,558,2795,469,2223,579,2802,120,2081,1070,3151,350,2280,641,2921,364,2297,610,2907
E92000001,England,E12000001,North East,805,E06000001,Hartlepool,190,727,280,1007,198,719,280,999,203,743,251,994,164,787,246,1033,127,836,234,1070,169,782,246,1028,168,811,218,1029,158,840,199,1039,307,645,245,890,335,654,208,862,284,681,232,913,264,724,209,933,206,769,222,991,212,762,223,985,128,847,222,1069,185,790,222,1012,188,788,221,1009
E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,446,1113,382,1495,444,1148,349,1497,454,1195,292,1487,356,1269,316,1585,301,1296,344,1640,355,1280,306,1586,380,1305,256,1561,356,1309,276,1585,607,1060,274,1334,676,1047,218,1265,570,1127,244,1371,540,1178,223,1401,443,1289,209,1498,473,1222,246,1468,267,1337,337,1674,384,1320,237,1557,405,1314,222,1536
E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,279,1283,165,1448,268,1293,166,1459,281,1318,128,1446,225,1406,96,1502,160,1489,78,1567,214,1372,141,1513,228,1401,98,1499,192,1451,84,1535,445,1091,191,1282,500,1128,99,1227,399,1202,126,1328,345,1290,92,1382,268,1393,66,1459,278,1367,82,1449,162,1530,35,1565,244,1391,92,1483,264,1373,90,1463
E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,367,1523,665,2188,360,1515,680,2195,368,1591,596,2187,261,1747,547,2294,248,1639,668,2307,284,1689,582,2271,333,1684,538,2222,293,1729,533,2262,634,1380,541,1921,715,1498,342,1840,560,1501,494,1995,490,1547,518,2065,385,1718,452,2170,385,1691,479,2170,167,1893,495,2388,311,1792,452,2244,351,1795,409,2204
E92000001,England,E12000001,North East,840,E06000047,County Durham,820,3296,1509,4805,846,3284,1495,4779,864,3445,1316,4761,633,3659,1333,4992,510,3749,1366,5115,572,3748,1305,5053,654,3823,1148,4971,609,3852,1164,5016,1307,3101,1217,4318,1473,3211,941,4152,1182,3309,1134,4443,1062,3524,1039,4563,764,3925,936,4861,772,3827,1026,4853,483,4146,996,5142,676,3934,1015,4949,746,3955,924,4879
